Question Order,Question,Survey Section,Question Type,Answer Choices,Notes
1,What is your age?,Background Information,Single select,"<18 years old, 18-24, 25-34, 35-44, 45-54, 55-64, >65",
2,How many cups of coffee do you typically drink per day?,Background Information,Single select,"Less than 1, 1, 2, 3, 4, More than 4",
3,Where do you typically drink coffee?,Background Information,Multiple selection,"None of these, At home, At a cafe, On the go, At the office",
4,"On the go, where do you typically purchase coffee?",Background Information,Multiple selection,"Other, Drive-thru, Specialty coffee shop, National chain (e.g. Starbucks, Dunkin), Local cafe, Deli or supermarket","Only available if ""On the go"" was selected in question 3"
5,Where else do you purchase coffee?,Background Information,Text,,"Only available if ""Other"" was selected in question 4"
6,How do you brew coffee at home?,Background Information,Multiple selection,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso), Instant coffe, Bean-to-cup machine, Coffee extract (e.g. Cometeer), Cold brew, Other",
7,How else do you brew coffee at home?,Background Information,Text,,"Only available if ""Other"" was selected in question 6"
8,What is your favorite coffee drink?,Background Information,Single select,"Blended drink, Cold brew, Espresso, Mocha, Latte, Pourover, Regular drip coffee, Americano, Cappuccino, Iced coffee, Cortado, Other",
9,Please specify what your favorite coffee drink is,Background Information,Text,,"Only available if ""Other"" was selected in question 8"
10,Do you usually add anything to your coffee?,Background Information,Multiple selection,"No - just black, Milk / dairy alternative / coffee creamer, Sugar / sweetener, Flavor syrup, Other",
11,What else do you add to your coffee?,Background Information,Text,,"Only available if ""Other"" was selected in question 10"
12,What kind of dairy do you add?,Background Information,Multiple selection,"Whole milk, Skim milk, Half and half, Coffee creamer, Flavored coffee creamer, Oat milk, Almond milk, Soy milk","Only available if ""Milk / dairy alternative / coffee creamer"" was selected in question 10"
13,What kind of sugar or sweetener do you add?,Background Information,Multiple selection,"Granulated sugar, Artificial sweeteners (e.g. Splenda), Honey, Maple syrup, Stevia, Agave nectar, Brown sugar, Raw sugar (Turbinado)","Only available if ""Sugar / sweetener"" was selected in question 10"
14,What kind of flavorings do you add?,Background Information,Multiple selection,"Vanilla syrup, Caramel syrup, Hazelnut syrup, Cinnamon (Ground or Stick), Peppermint Syrup, Other","Supposedly available if ""Flavor syrup"" was selected in question 10, but it doesn't render in the survey website"
